attribute,overlap
fractal_dimension_se,0.5938375350140056
smoothness_se,0.5910364145658263
fractal_dimension_mean,0.5882352941176471
symmetry_se,0.5686274509803921
texture_se,0.5490196078431373
compactness_se,0.5238095238095238
smoothness_mean,0.5210084033613446
symmetry_mean,0.5098039215686274
concave points_se,0.5070028011204482
fractal_dimension_worst,0.49299719887955185
smoothness_worst,0.453781512605042
concavity_se,0.45098039215686275
symmetry_worst,0.4369747899159664
texture_mean,0.38935574229691877
texture_worst,0.38095238095238093
compactness_mean,0.3165266106442577
compactness_worst,0.3165266106442577
perimeter_se,0.2801120448179272
radius_se,0.2773109243697479
concavity_worst,0.21288515406162464
area_se,0.20728291316526612
radius_mean,0.18487394957983194
concavity_mean,0.18207282913165265
area_mean,0.1792717086834734
perimeter_mean,0.16806722689075632
concave points_worst,0.1400560224089636
concave points_mean,0.13725490196078433
radius_worst,0.13445378151260504
perimeter_worst,0.12885154061624648
area_worst,0.12885154061624648
